terminal_id,borough,zone
8344.09,The Bronx,Morris Heights
4965.01,Brooklyn,NONE
7286.05,Manhattan,Manhattan Community Board 8
5291.05,Brooklyn,NONE
6991.12,Manhattan,Lenox Hill
6801.01,Manhattan,Sutton
6197.08,Manhattan,Kips Bay
5027.02,Brooklyn,NONE
5238.05,Manhattan,Two Bridges
5365.02,Manhattan,Lower East Side
7365.13,Manhattan,Manhattan Community Board 8
8394.15,Manhattan,Manhattan Community Board 12
4721.01,Brooklyn,NONE
4228.02,Brooklyn,Bedford-Stuyvesant
4608.01,Brooklyn,NONE
8432.11,Manhattan,Fort George
8664.06,The Bronx,Bedford Park
4290.06,Kings County,Gowanus
4249.1,Brooklyn,NONE
5666.11,Brooklyn,Greenpoint
4979.07,Brooklyn,NONE
4281.08,Brooklyn,NONE
4898.02,Brooklyn,NONE
4680.05,Brooklyn,NONE
5105.01,Manhattan,Whitehall
8254.01,The Bronx,High Bridge
6331.01,Manhattan,Chelsea
5187.03,Brooklyn,NONE
7432.04,Manhattan,Manhattan Community Board 7
6115.09,Manhattan,Chelsea District
5198.04,Manhattan,Manhattan Community Board 3
4317.05,Brooklyn,Broadway Junction
4939.07,Brooklyn,NONE
5433.04,Brooklyn,NONE
6860.12,Manhattan,Manhattan Community Board 8
6345.08,Manhattan,Manhattan Community Board 6
5826.02,Brooklyn,NONE
6659.01,Manhattan,Beekman
4010.13,Brooklyn,NONE
7149.05,Manhattan,NONE
6310.06,Queens County,Court Square
5584.04,Manhattan,Alphabet City
6306.06,Manhattan,Manhattan Community Board 4
8044.09,The Bronx,Bronx County
6297.08,Manhattan,Manhattan Community Board 4
5659.05,Manhattan,Alphabet City
6602.05,Manhattan,Hell's Kitchen
5755.01,Manhattan,University Village
3722.04,Brooklyn,NONE
8358.1,Manhattan,Hudson Heights
4368.05,Brooklyn,Clinton Hill
5270.09,Manhattan,Chinatown
4319.07,Brooklyn,Bedford-Stuyvesant
6143.05,Queens County,Sunnyside
7738.04,Manhattan,Manhattan Community Board 10
7291.06,Queens County,NONE
8122.04,The Bronx,Morrisania
4993.15,Manhattan,Whitehall
8084.03,The Bronx,Morrisania
5114.08,Manhattan,Manhattan Community Board 1
2883.03,Brooklyn,NONE
6662.09,Queens County,NONE
4175.14,Brooklyn,NONE
6817.15,Queens County,NONE
7814.01,Manhattan,NONE
4654.01,Queens County,Ridgewood
8303.06,The Bronx,Tremont
8068.01,The Bronx,Morrisania
8323.05,The Bronx,Tremont
8734.02,The Bronx,Bedford Park
5736.09,Manhattan,Alphabet City
6645.06,Queens County,Jackson Heights
8048.01,The Bronx,Morrisania
7893.05,Manhattan,NONE
8229.04,The Bronx,Bronx County
8133.08,The Bronx,Charlotte Gardens
8336.02,Manhattan,Manhattan Community Board 12
4620.02,Brooklyn,NONE
6365.1,Queens County,Jackson Heights
6495.17,Queens County,NONE
4977.03,Queens County,Fresh Pond Junction
4623.02,Brooklyn,NONE
4546.05,Brooklyn,NONE
4812.02,Brooklyn,Brooklyn Navy Yard
8748.02,The Bronx,Bedford Park
5288.12,Manhattan,Manhattan Community Board 1
4089.01,Brooklyn,Eastern Parkway
8081.01,The Bronx,Bronx County
6064.08,Manhattan,Manhattan Community Board 5
5001.08,Manhattan,Manhattan Community Board 1
5430.08,Manhattan,Manhattan Community Board 1
5593.04,Manhattan,Manhattan Community Board 3
5788.12,Manhattan,Manhattan Community Board 3
7196.04,Queens County,Steinway
6943.07,Queens County,NONE
